stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest
IVC,31-12-2019,88003000,121184000,219464000,140013000,-91334000,85000,355877000,92183000,3128000,928000,218657000,80063000,4131000,-101199000,373403000,66949000,87475000,2851000,9590000,852126000,21634000,602000,308516000,543610000,312650000,26447000,,,
IVC,31-12-2018,92469000,128644000,225733000,138476000,-48632000,90000,397410000,74306000,12793000,352000,198208000,116907000,6270000,-90640000,381273000,74965000,142447000,3221000,9421000,885855000,22750000,402000,359147000,526708000,297919000,26506000,,,
IVC,31-12-2017,90566000,121933000,241405000,143464000,-8233000,103000,456914000,80016000,36870000,518000,218064000,176528000,97473000,-64136000,401283000,183270000,187999000,4253000,9306000,1066033000,34119000,787000,423294000,642739000,290125000,30244000,,,
IVC,31-12-2016,88236000,135644000,146088000,132707000,32762000,108000,409072000,75359000,-19335000,837000,220861000,124234000,29579000,-119065000,360602000,114407000,266144000,6446000,9157000,903743000,33800000,793000,422387000,481356000,266151000,29023000,,,
CSLT,31-12-2019,19596000,,,31397000,68911000,,95470000,18762000,,,54907000,43017000,24589000,,,1785000,-455042000,,15000,242784000,18768000,21429000,172874000,69910000,627899000,,16411000,,
CSLT,31-12-2018,9556000,,,26816000,86677000,,107828000,3963000,,,51178000,66005000,33729000,,,4411000,-415040000,,14000,253514000,35647000,30275000,194671000,58843000,609697000,,11327000,,
CSLT,31-12-2017,3907000,,,21933000,99519000,,119268000,5263000,,,57011000,61319000,43314000,,,6357000,-375334000,,13000,279883000,39163000,39992000,211557000,68326000,586900000,,32025000,,
CSLT,31-12-2016,2288000,,,14806000,101962000,,141010000,5285000,,,48723000,48722000,10871000,,,6481000,-355644000,,10000,157166000,36992000,5050000,101962000,55204000,457596000,,65882000,,
LPX,31-12-2019,112000000,265000000,347000000,164000000,941000000,10000000,619000000,1072000000,-153000000,1000000,244000000,181000000,84000000,-559000000,30000000,206000000,966000000,,130000000,1835000000,17000000,,991000000,834000000,454000000,,,,
LPX,31-12-2018,94000000,273000000,346000000,128000000,1674000000,49000000,1287000000,1072000000,-146000000,4000000,262000000,878000000,80000000,-524000000,16000000,205000000,1613000000,,153000000,2514000000,45000000,,1700000000,814000000,458000000,,,,
